Rank,Title,Author,Rating,Format,Copies,Availability,Wait Time,Wait Weeks
99,Dirty Thirty,Janet Evanovich,4.0,EBOOK,15.0,WAIT LIST,2 weeks,2.0
100,Falling,T. J. Newman,3.8,EBOOK,2.0,WAIT LIST,6 months,27.0
101,The Thursday Murder Club,Richard Osman,3.9,EBOOK,8.0,WAIT LIST,6 months,27.0
102,The Invisible Life of Addie LaRue,V. E. Schwab,4.1,EBOOK,8.0,WAIT LIST,6 months,27.0
103,Little Fires Everywhere,Celeste Ng,4.1,EBOOK,38.0,AVAILABLE,No wait,0.0
104,I'm Glad My Mom Died,Jennette McCurdy,4.4,EBOOK,1.0,WAIT LIST,6 months,27.0
105,The Ministry of Time,Kaliane Bradley,3.4,EBOOK,10.0,WAIT LIST,6 months,27.0
106,Obsessed,James Patterson,4.0,EBOOK,12.0,AVAILABLE,No wait,0.0
107,Icebreaker,Hannah Grace,3.7,EBOOK,12.0,WAIT LIST,6 weeks,6.0
108,Counting the Cost,Jill Duggar,4.1,EBOOK,10.0,AVAILABLE,No wait,0.0
109,Inheritance,Nora Roberts,4.2,EBOOK,10.0,WAIT LIST,10 weeks,10.0
110,A Death in Cornwall,Daniel Silva,4.0,EBOOK,10.0,WAIT LIST,6 months,27.0
111,The Maid,Nita Prose,3.8,EBOOK,4.0,WAIT LIST,6 months,27.0
112,The Secret,Lee Child,3.8,EBOOK,2.0,WAIT LIST,6 weeks,6.0
113,Shadow of Doubt,Brad Thor,3.9,EBOOK,13.0,WAIT LIST,6 months,27.0
114,The Berry Pickers,Amanda Peters,4.0,EBOOK,10.0,WAIT LIST,6 months,27.0
115,The House in the Pines,Ana Reyes,2.7,EBOOK,3.0,WAIT LIST,16 weeks,16.0
116,Beach Read,Emily Henry,4.1,EBOOK,10.0,WAIT LIST,6 months,27.0
117,The Silent Patient,Alex Michaelides,4.0,EBOOK,15.0,WAIT LIST,20 weeks,20.0
118,The Brilliant Abyss,Helen Scales,3.6,EBOOK,1.0,WAIT LIST,6 weeks,6.0
119,Listen for the Lie,Amy Tintera,3.8,EBOOK,10.0,WAIT LIST,6 months,27.0
120,The Book Woman of Troublesome Creek,Kim Michele Richardson,4.2,EBOOK,15.0,AVAILABLE,No wait,0.0
121,Sandwich,Catherine Newman,3.2,EBOOK,10.0,WAIT LIST,6 months,27.0
122,The Year of Less,Cait Flanders,3.5,EBOOK,5.0,AVAILABLE,No wait,0.0
123,Too Late,Colleen Hoover,3.7,EBOOK,10.0,WAIT LIST,6 weeks,6.0
124,All the Light We Cannot See,Anthony Doerr,4.3,EBOOK,3.0,WAIT LIST,6 months,27.0
125,Pineapple Street,Jenny Jackson,3.5,EBOOK,1.0,WAIT LIST,6 months,27.0
126,The Anxious Generation,Jonathan Haidt,3.8,EBOOK,10.0,WAIT LIST,6 months,27.0
127,Hard to Kill,James Patterson,3.4,EBOOK,10.0,WAIT LIST,6 months,27.0
128,A Gentleman in Moscow,Amor Towles,4.2,EBOOK,22.0,AVAILABLE,No wait,0.0
129,House of Flame and Shadow,Sarah J. Maas,4.1,EBOOK,12.0,WAIT LIST,10 weeks,10.0
130,Cottage by the Sea,Debbie Macomber,3.9,EBOOK,20.0,AVAILABLE,No wait,0.0
131,Killers of the Flower Moon,David Grann,4.0,EBOOK,15.0,WAIT LIST,2 weeks,2.0
132,The Demon of Unrest,Erik Larson,3.5,EBOOK,12.0,WAIT LIST,6 months,27.0
133,Lilac Girls,Martha Hall Kelly,4.1,EBOOK,20.0,AVAILABLE,No wait,0.0
134,From Blood and Ash,Jennifer L. Armentrout,4.3,EBOOK,16.0,WAIT LIST,7 weeks,7.0
135,Butcher & Blackbird,Brynne Weaver,3.8,EBOOK,10.0,WAIT LIST,6 months,27.0
136,The Midnight Library,Matt Haig,4.0,EBOOK,8.0,WAIT LIST,6 months,27.0
137,It Ends With Us Series,Colleen Hoover,3.6,EBOOK,3.0,WAIT LIST,6 months,27.0
138,Be Ready When the Luck Happens,Ina Garten,4.3,EBOOK,10.0,WAIT LIST,6 months,27.0
139,All We Ever Wanted,Emily Giffin,3.8,EBOOK,20.0,AVAILABLE,No wait,0.0
140,By Any Other Name,Jodi Picoult,3.2,EBOOK,20.0,WAIT LIST,6 months,27.0
141,If He Had Been with Me,Laura Nowlin,4.3,EBOOK,8.0,WAIT LIST,7 weeks,7.0
142,Horse,Geraldine Brooks,4.1,EBOOK,6.0,WAIT LIST,6 months,27.0
143,Enough,Cassidy Hutchinson,3.4,EBOOK,8.0,AVAILABLE,No wait,0.0
144,Mrs Harris Goes to Paris & Mrs Harris Goes to New York,Paul Gallico,3.6,EBOOK,14.0,AVAILABLE,No wait,0.0
145,Joe Pickett,C. J. Box,3.6,EBOOK,1.0,WAIT LIST,6 months,27.0
146,We Used to Live Here,Marcus Kliewer,3.6,EBOOK,7.0,WAIT LIST,6 months,27.0
147,Red Sky Mourning,Jack Carr,3.8,EBOOK,8.0,WAIT LIST,6 months,27.0
148,A Calamity of Souls,David Baldacci,4.0,EBOOK,10.0,WAIT LIST,6 months,27.0
149,A Court of Frost and Starlight,Sarah J. Maas,4.2,EBOOK,9.0,WAIT LIST,6 months,27.0
